Horse_ID,Accuracy,Precision (IoU)
90,0.9696484375,0.9505735310031382
91,0.95919921875,0.7676865709761455
92,0.9076214822188037,nan
93,0.7998036613019192,nan
94,0.8995209703947369,0.8893805309734514
95,0.7314646738489827,0.5742589558928075
96,0.7869380831212892,0.6429053402737613
97,0.950908203125,0.9819475047353976
98,0.90828125,0.9690635637528645
99,0.9470611954459203,0.9762169459223378
100,0.922763671875,0.9922085579514824
101,0.9077018229166667,0.9991238991100659
102,0.7437734090477588,nan
103,0.9101182835136622,0.988322739180764
104,0.8173353212252643,0.618825411639224
105,0.9619568249009873,0.8017056396148555
106,0.9283854166666666,0.9374312215060525
107,0.8136160714285714,0.5993804125888896
108,0.8913541666666667,0.7179822531640475
109,0.9578362223550508,0.9066407335370936
110,0.9432642487046632,0.888673880420188
111,0.9168374992507343,0.8827539195637355
112,0.8832833333333333,0.7379132534838941
113,0.8176263219741481,0.9123711340206185
114,0.8907927259887005,0.686373092926491
115,0.853204365079365,0.9835718932986337
116,0.8898893229166667,0.7766677329658702
117,0.9536070780399274,0.9954023341995603
118,0.9450642201834862,0.9889082751744765
119,0.9702332860210358,0.9317415730337079
120,0.9171553991611573,0.8708126365984502
121,0.9514460538266648,0.8069870602424416
122,0.9628884417616812,0.9275679700417182
123,0.9616219008264463,0.8536821705426356
124,0.9274574172939395,0.8879636145645998
125,0.9673547400611621,0.9230694868721241
126,0.937000440140845,0.9790712122388755
127,0.9353157552083333,0.9816346853575395
128,0.9672593995510662,0.9423953135170319
129,0.9573678875167856,0.8622966104243737
130,0.7420307003931306,0.996576682316119
131,0.9369738275206029,0.8874808729368769
132,0.9608430989583333,0.9045278791601923
133,0.921396484375,0.9905851050221302
134,0.9721465197028424,0.9960720532727775
135,0.9387595518303192,0.9293324806926067
136,0.9530314232902033,0.9290763562919604
137,0.9606564597315437,0.9130037709168042
138,0.6869479733817302,1.0
139,0.9564242424242424,0.9830519783812638
140,0.9277170283806344,0.926478173207671
141,0.9029018953157223,0.9637078458092508
142,0.9206539269830409,0.83205186533212
143,0.9437428711096627,0.8486753705152117
144,0.8536763422259606,0.9707504292495708
145,0.9414949736239674,0.8455842480225884
146,0.927749478079332,0.8937052478926856
147,0.8371829483718295,0.7341667678116276
148,0.961755241345685,0.9026776711356761
149,0.8767551622418879,0.9653846153846154
150,0.8539036195286195,0.9900914634146342
151,0.8571428571428571,1.0
152,0.9012006578947368,0.557897545357524
153,0.8985830513864719,0.9065950868132242
154,0.9715401034555698,0.925783462337172
155,0.8332572645671688,nan
156,0.8049394939493949,nan
157,0.7954779411764706,0.5760445682451254
158,0.8892166666666667,0.6301769199839163
159,0.9672252747252748,0.9006605833286682
160,0.8620364550597108,nan
161,0.9565984848484849,0.8743795875567983
162,0.9511586452762923,0.9170418730301666
163,0.9634698880755175,0.9201568511938732
164,0.9388899739583333,0.8582498557717523
165,0.9515824549381596,0.9828070879975905
166,0.8861787856071964,0.7627197299957812
167,0.6960993705035972,0.5105321871513879
168,0.9460412213369608,0.9364200790197185
169,0.9383166666666667,0.9610022654285643
170,0.9510027066929134,0.9338082362728786
171,0.9450030581039756,0.9890809259374805
172,0.9283815982404692,0.8820616986162244
173,0.7535714285714286,0.8036117381489842
174,0.8544444444444445,0.9868269389099292
175,0.9305236486486487,0.9276637916654401
176,0.9584416666666666,0.9348758080979925
177,0.8973684210526316,0.7750149302350834
178,0.7466693607258317,0.6212769112885286
179,0.9027416666666667,0.9714318046211139
180,0.9318304387568556,0.9698617813036722
181,0.9298492305288649,0.7885940086506115
182,0.980375,0.9820374438387619
183,0.9691704136690648,0.9752625895749485
184,0.9046895833333334,0.8349052615396441
185,0.9550249233128835,0.9545721748059737
186,0.9142609351432881,0.8882578884229757
187,0.9120979166666666,0.9810337030830207
188,0.8953388170779475,0.8842703097357558
189,0.6352662391971007,nan
190,0.94838125,0.9368029107725789
191,0.7939804431685655,0.9241379310344827
192,0.9511836343732896,0.9802067438911694
193,0.91349375,0.9219934362870041
194,0.9062042608554236,0.8208261091279959
195,0.90751875,0.7826619423570818
196,0.95568125,0.8853409051237592
197,0.9679895833333333,0.9714824215790271
198,0.9452291666666667,0.9723699135119808
199,0.967425,0.9623602566646822
200,0.9247041666666667,0.9822328084336818
201,0.9614586776859504,0.9037070364881078
202,0.8850458333333333,0.8342878737530705
203,0.9170978062157221,0.977620196613527
204,0.9461979166666666,0.8940347393261034
205,0.9361510617760618,0.9321970700499446
206,0.9275448028673835,0.9427935755469438
207,0.9265625,0.7487565315760176
208,0.9344729166666667,0.9118289637952559
209,0.9648362516212711,0.8993010092057289
210,0.924761427115377,0.9963253635091561
211,0.8826658500703999,0.8101721363436876
212,0.9604400386847195,0.9084294035293914
213,0.9013844086021505,0.8722095897182403
214,0.8456296296296296,0.8027434995439909
215,0.9155128718153929,0.8924523830043954
216,0.9845300890477001,0.9490450476570145
217,0.9392094788053725,0.7427479481235512
218,0.8694796954314721,0.9976029480161711
219,0.8565871710526316,0.7977857972964707
220,0.729414805624483,0.5582370480805069
221,0.883828414159628,0.9852691054801234
222,0.8936442182506805,0.5835502603123749
223,0.904118122432487,0.9685618305127718
224,0.883125,0.8139064627212301
225,0.92245625,0.9539823008849557
